"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 15:38:24 IST 2023","Mon Jan 02 15:38:24 IST 2023","671","","My Login application","","My Login application","Should not register a new user without a valid password","Should not register a new user without a valid password",""
"passed","Mon Jan 02 15:38:10 IST 2023","Mon Jan 02 15:38:11 IST 2023","623","","My Login application","","My Login application","Should not register a new user without last name","Should not register a new user without last name",""
"passed","Mon Jan 02 15:38:18 IST 2023","Mon Jan 02 15:38:19 IST 2023","1123","","My Login application","","My Login application","Should not register a new user with an existing email","Should not register a new user with an existing email",""
"passed","Mon Jan 02 15:38:05 IST 2023","Mon Jan 02 15:38:09 IST 2023","4371","","My Login application","","My Login application","Should register a new user without gender","Should register a new user without gender",""
"passed","Mon Jan 02 15:38:13 IST 2023","Mon Jan 02 15:38:14 IST 2023","1950","","My Login application","","My Login application","Should register a new user without month","Should register a new user without month",""
"passed","Mon Jan 02 15:38:27 IST 2023","Mon Jan 02 15:38:28 IST 2023","1081","","My Login application","","My Login application","Should not login without password","Should not login without password",""
"passed","Mon Jan 02 15:38:18 IST 2023","Mon Jan 02 15:38:18 IST 2023","663","","My Login application","","My Login application","Should not register a new user with invalid email","Should not register a new user with invalid email",""
"passed","Mon Jan 02 15:38:26 IST 2023","Mon Jan 02 15:38:27 IST 2023","1089","","My Login application","","My Login application","Should not login without email","Should not login without email",""
"passed","Mon Jan 02 15:38:21 IST 2023","Mon Jan 02 15:38:22 IST 2023","1153","","My Login application","","My Login application","Should not register a new user without password","Should not register a new user without password",""
"passed","Mon Jan 02 15:38:31 IST 2023","Mon Jan 02 15:38:32 IST 2023","1449","","My Login application","","My Login application","Should login with valid credentials","Should login with valid credentials",""
"passed","Mon Jan 02 15:38:14 IST 2023","Mon Jan 02 15:38:17 IST 2023","2043","","My Login application","","My Login application","Should register a new user without year","Should register a new user without year",""
"passed","Mon Jan 02 15:38:28 IST 2023","Mon Jan 02 15:38:29 IST 2023","1143","","My Login application","","My Login application","Should not login with invalid password","Should not login with invalid password",""
"passed","Mon Jan 02 15:38:09 IST 2023","Mon Jan 02 15:38:10 IST 2023","1162","","My Login application","","My Login application","Should not register a new user without first name","Should not register a new user without first name",""
"passed","Mon Jan 02 15:38:24 IST 2023","Mon Jan 02 15:38:26 IST 2023","1419","","My Login application","","My Login application","Should register a new user","Should register a new user",""
"passed","Mon Jan 02 15:38:30 IST 2023","Mon Jan 02 15:38:31 IST 2023","1136","","My Login application","","My Login application","Should not login with unregistered email","Should not login with unregistered email",""
"passed","Mon Jan 02 15:38:11 IST 2023","Mon Jan 02 15:38:13 IST 2023","1448","","My Login application","","My Login application","Should register a new user without day","Should register a new user without day",""
"passed","Mon Jan 02 15:38:19 IST 2023","Mon Jan 02 15:38:21 IST 2023","1542","","My Login application","","My Login application","Should register a new user without company name","Should register a new user without company name",""
"passed","Mon Jan 02 15:38:29 IST 2023","Mon Jan 02 15:38:30 IST 2023","685","","My Login application","","My Login application","Should not login without invalid email","Should not login without invalid email",""
"passed","Mon Jan 02 15:38:17 IST 2023","Mon Jan 02 15:38:18 IST 2023","1162","","My Login application","","My Login application","Should not register a new user without email","Should not register a new user without email",""
"passed","Mon Jan 02 15:38:23 IST 2023","Mon Jan 02 15:38:24 IST 2023","698","","My Login application","","My Login application","Should not register a new user without confirmation password","Should not register a new user without confirmation password",""
"passed","Mon Jan 02 15:38:22 IST 2023","Mon Jan 02 15:38:23 IST 2023","716","","My Login application","","My Login application","Should not register a new user without matching confirmation password","Should not register a new user without matching confirmation password",""
